Fall City,WA,47.5717,-121.9134,1903,1840112150
Pasco,WA,46.2506,-119.1303,73013,1840097383
Lyman,WA,48.523,-122.0634,468,1840097624
Oakville,WA,46.8403,-123.2333,684,1840096276
Dash Point,WA,47.3131,-122.4153,1007,1840116348
Herron Island,WA,47.2645,-122.8348,69,1840116362
West Clarkston-Highland,WA,46.4023,-117.063,5895,1840113386
Royal City,WA,46.9,-119.6142,2205,1840097251
Venersborg,WA,45.786,-122.4721,4196,1840113349
Hoquiam,WA,46.9863,-123.9023,8500,1840097107
Willapa,WA,46.6755,-123.6648,204,1840116891
Quilcene,WA,47.8369,-122.9058,432,1840113084
Freeland,WA,48.0185,-122.5358,1698,1840112291
McCleary,WA,47.0584,-123.2723,1691,1840096267
Roosevelt,WA,45.7476,-120.2161,107,1840113165
Long Beach,WA,46.3559,-124.0556,1413,1840097154
Trout Lake,WA,45.9976,-121.5291,654,1840097771
Coulee Dam,WA,47.9688,-118.9761,1079,1840096224
Swede Heaven,WA,48.2829,-121.7136,1030,1840116417
Pine Grove,WA,48.6502,-118.6834,111,1840118432
Langley,WA,48.0337,-122.4084,1124,1840097143
Sedro-Woolley,WA,48.5113,-122.2321,11838,1840097263
Hatton,WA,46.7735,-118.8277,101,1840097094
Entiat,WA,47.678,-120.2175,1223,1840097520
Bainbridge Island,WA,47.6439,-122.5434,24522,1840097338
Auburn,WA,47.3041,-122.211,80776,1840096973
Ocean City,WA,47.0763,-124.162,168,1840112950
White Swan,WA,46.3769,-120.7382,973,1840113424
Felida,WA,45.7138,-122.7103,8065,1840112239
Lacey,WA,47.0458,-122.7934,49748,1840097134
Gold Bar,WA,47.8566,-121.6927,2301,1840097547
Clyde Hill,WA,47.6303,-122.218,3318,1840096220
Upper Elochoman,WA,46.2403,-123.3247,70,1840116420
Marcus,WA,48.6642,-118.0601,183,1840097629
Canyon Creek,WA,48.1157,-121.9831,3319,1840112472
Malone,WA,46.9779,-123.3035,543,1840118482
Bothell East,WA,47.8064,-122.1844,10424,1840116330
Yarrow Point,WA,47.6452,-122.2179,1126,1840096328
Steptoe,WA,47.0075,-117.3502,183,1840116888
West Richland,WA,46.3115,-119.3997,14596,1840097331
Orient,WA,48.8637,-118.2059,132,1840116883
Federal Way,WA,47.309,-122.3359,96690,1840097900
Pe Ell,WA,46.5712,-123.2982,653,1840096280
Deep River,WA,46.3521,-123.6984,151,1840096455
Bothell,WA,47.7736,-122.2044,45533,1840096993
South Wenatchee,WA,47.3886,-120.2829,2057,1840112773
Snoqualmie Pass,WA,47.4014,-121.4109,235,1840112749
Hartline,WA,47.6895,-119.1081,154,1840097092
Lake Forest Park,WA,47.7597,-122.2878,13392,1840097136
Crocker,WA,47.0843,-122.1225,1332,1840116347
Elbe,WA,46.7653,-122.1946,53,1840112104
Ravensdale,WA,47.3563,-121.9692,1579,1840113113
Arlington,WA,48.1697,-122.1446,19212,1840097405
McChord AFB,WA,47.1328,-122.4924,3337,1840112228
Lebam,WA,46.5641,-123.5509,101,1840112603
Lynden,WA,48.9503,-122.4544,17340,1840096262
Coupeville,WA,48.2172,-122.6775,1928,1840097029
Prescott,WA,46.2988,-118.3126,304,1840096284
South Bend,WA,46.668,-123.8008,1651,1840096322
Mabton,WA,46.2115,-119.9938,2532,1840097160
North Bend,WA,47.4898,-121.7738,6821,1840097665
Grapeview,WA,47.3316,-122.8413,982,1840116874
Garfield,WA,47.0103,-117.1395,614,1840096243
Rochester,WA,46.8288,-123.0722,2923,1840113151
Dayton,WA,46.3168,-117.9769,2637,1840096228
Algona,WA,47.2822,-122.2504,3185,1840096967
Mineral,WA,46.7193,-122.1859,193,1840116881
Barstow,WA,48.7783,-118.1329,119,1840118306
Moclips,WA,47.2348,-124.2025,0,1840112838
Bellingham,WA,48.7543,-122.4687,126015,1840096984
Vader,WA,46.4045,-122.9569,643,1840097308
North Lynnwood,WA,47.8533,-122.2762,20626,1840116388
Tracyton,WA,47.6095,-122.6533,5937,1840113292
White Salmon,WA,45.7282,-121.4853,2552,1840097335
Peaceful Valley,WA,48.9477,-122.1406,4196,1840113013
East Renton Highlands,WA,47.4718,-122.0854,11401,1840112076
Metaline,WA,48.854,-117.3899,178,1840097638
Deming,WA,48.8381,-122.2313,240,1840112661
Medical Lake,WA,47.5712,-117.6893,4818,1840097172
Aberdeen,WA,46.9757,-123.8095,29089,1840096963
Chehalis,WA,46.6637,-122.9647,7533,1840096217
Onalaska,WA,46.5783,-122.7112,709,1840116882
Toledo,WA,46.4414,-122.8496,751,1840097296
Everson,WA,48.9123,-122.351,4709,1840096235
Belfair,WA,47.4495,-122.8487,4063,1840116870
Lynnwood,WA,47.8285,-122.3035,38273,1840097158
Colton,WA,46.5675,-117.1285,467,1840096221
Malden,WA,47.2296,-117.4731,209,1840097162
Ames Lake,WA,47.6346,-121.9664,1526,1840111796
Wilson Creek,WA,47.423,-119.1176,212,1840097337
North Yelm,WA,46.9647,-122.6029,2887,1840112935
Mirrormont,WA,47.4616,-121.9936,3682,1840112830
Whidbey Island Station,WA,48.3387,-122.6616,1938,1840111835
Town and Country,WA,47.7259,-117.4221,5001,1840113291
Tokeland,WA,46.709,-123.9839,330,1840113278
Snoqualmie,WA,47.5293,-121.8412,26054,1840097736
Bremerton,WA,47.5436,-122.7121,216480,1840096996
East Cathlamet,WA,46.1968,-123.358,503,1840112702
Fort Lewis,WA,47.0955,-122.5672,13920,1840112274
Salmon Creek,WA,45.7099,-122.6632,21068,1840113197
Skykomish,WA,47.7103,-121.3586,216,1840097734
Tacoma,WA,47.2431,-122.4531,213418,1840097289
Monroe,WA,47.8596,-121.9853,18789,1840097648
Loomis,WA,48.8235,-119.6398,117,1840116877
Pomeroy,WA,46.4737,-117.5967,1388,1840097230
